name,gender
Abdon,m
Abel,m
Abercjusz,m
Abraham,m
Absalon,m
Achacjusz,m
Achacy,m
Achilles,m
Ada,f
Adalbert,m
Adam,m
Adamina,f
Adaukt,m
Addar,m
Adela,f
Adelajda,f
Adelina,f
Ado,m
Adolf,m
Adolfa,f
Adolfina,f
Adria,f
Adrian,m
Adriana,f
Adrianna,f
Afanazy,m
Afrodyta,f
Aga,f
Agapit,m
Agata,f
Agaton,m
Agatonik,m
Agenor,m
Ageusz,m
Agnieszka,f
Agrypina,f
Aida,f
Aisza,f
Alan,m
Alban,m
Albaniusz,m
Albert,m
Alberta,f
Albertyna,f
Albin,m
Albina,f
Albrecht,m
Aldona,f
Aleksander,m
Aleksandra,f
Aleksy,m
Alf,m
Alfons,m
Alfonsyna,f
Alfred,m
Alfreda,f
Ali,m
Alicja,f
Alina,f
Alma,f
Alojza,f
Alojzy,m
Alpinian,m
Amadea,f
Amadeusz,m
Amalia,f
Amata,f
Ambroży,m
Amedeusz,m
Amelia,f
Amiceta,f
Amin,m
Amon,m
Amos,m
Ananiasz,m
Anastazja,f
Anastazy,m
Anatol,m
Anatolia,f
Andonik,m
Andromeda,f
Andron,m
Andrzej,m
Aneta,f
Angel,m
Angela,f
Angelika,f
Angelina,f
Angelus,m
Anicet,m
Aniceta,f
Aniela,f
Anita,f
Anna,f
Antoni,m
Antonin,m
Antonina,f
Antym,m
Anzelm,m
Apolinary,m
Apollo,m
Apolonia,f
Apoloniusz,m
Areta,f
Ariadna,f
Ariel,m
Ariela,f
Arkadiusz,m
Arkady,m
Arleta,f
Arletta,f
Arnold,m
Arnolf,m
Aron,m
Arseniusz,m
Artemon,m
Artur,m
Artus,m
Arystarch,m
Aspazja,f
Asteria,f
Asteriusz,m
Atanazja,f
Atanazy,m
August,m
Augusta,f
Augustyn,m
Augustyna,f
Auksencjusz,m
Aurela,f
Aureli,m
Aurelia,f
Aurelian,m
Aureliusz,m
Aurora,f
Axel,m
Balbin,m
Balbina,f
Balcer,m
Baltazar,m
Barabasz,m
Barbara,f
Barnaba,m
Bartłomiej,m
Bartolomea,f
Bartosz,m
Bazyli,m
Bazylid,m
Bazylis,m
Bazylissa,f
Bazyliusz,m
Będzimir,m
Będzisław,m
Będzisława,f
Bean,m
Beata,f
Beatrice,f
Beatrycze,f
Beatryks,m
Beatus,m
Beda,f
Begina,f
Benedykt,m
Benedykta,f
Beniamin,m
Benicjusz,m
Benigna,f
Benignus,m
Benita,f
Benon,m
Berenika,f
Berenike,f
Berna,f
Bernadeta,f
Bernadetta,f
Bernard,m
Bernardeta,f
Bernardyn,m
Bernardyna,f
Berno,m
Berta,f
Bertold,m
Bertram,m
Bertrand,m
Bibianna,f
Biernat,m
Biruta,f
Bjorn,m
Blandyn,m
Blandyna,f
Blanka,f
Blizbor,m
Błażej,m
Bogdan,m
Bogdana,f
Bogna,f
Boguchwał,m
Boguchwała,f
Bogudar,m
Bogumił,m
Bogumiła,f
Bogumir,m
Bogurad,m
Bogusąd,m
Bogusław,m
Bogusława,f
Bogusz,m
Boguta,f
Boguwola,f
Bohdan,m
Bohdana,f
Bohusz,m
Bolebor,m
Boleczest,m
Bolemir,m
Bolemysł,m
Bolesław,m
Bolesława,f
Bolisława,f
Bonawentura,m
Bonifacy,m
Bończa,f
Borys,m
Borysław,m
Borzymir,m
Borzysław,m
Borzysława,f
Borzywoj,m
Bożebor,m
Bożeciech,m
Bożeciecha,f
Bożena,f
Bożydar,m
Bożymierz,m
Bożysław,m
Bożysława,f
Bożywoj,m
Bratumił,m
Bratumiła,f
Brodzisław,m
Bronimir,m
Bronisław,m
Bronisława,f
Bronisz,m
Broniwoj,m
Bruno,m
Brunon,m
Bryda,f
Brygida,f
Brykcjusz,m
Budzigniew,m
Budzimir,m
Budzisław,m
Budzisława,f
Budzisz,m
Budziwoj,m
Burchard,m
Carmen,f
Cecyl,m
Cecylia,f
Cecylian,m
Cecyliusz,m
Celestyn,m
Celestyna,f
Celina,f
Cezara,f
Cezariusz,m
Cezary,m
Cezaryna,f
Charyzjusz,m
Chociebor,m
Chociemir,m
Chociesław,m
Chrystian,m
Chryzant,m
Chwalibóg,m
Chwalimir,m
Chwalimira,f
Chwalisław,m
Chwalisława,f
Cibor,m
Ciechomir,m
Ciechosław,m
Ciechosława,f
Cierpisław,m
Cieszybor,m
Cieszygor,m
Cieszymir,m
Cieszymysł,m
Cieszyrad,m
Cieszysław,m
Cieszysława,f
Cyntia,f
Cyprian,m
Cyriak,m
Cyriaka,f
Cyrus,m
Cyryl,m
Czcibor,m
Czcibora,f
Czcirad,m
Czcisław,m
Czech,m
Czechasz,m
Czechoń,m
Czesemir,m
Czesław,m
Czesława,f
Częstobor,m
Częstogniew,m
Częstomir,m
Częstowoj,m
Dacjan,m
Dadąbog,m
Dagmara,f
Dagna,f
Dagobert,m
Dalebor,m
Dalegor,m
Dalemir,m
Dalia,f
Dalida,f
Damazy,m
Damian,m
Dan,m
Daniel,m
Daniela,f
Danisz,m
Danuta,f
Daria,f
Dariusz,m
Darosław,m
Dawid,m
Dawida,f
Dąbrówka,f
Delfin,m
Delfina,f
Demetria,f
Demetriusz,m
Demokryt,m
Dersław,m
Dezyderia,f
Dezyderiusz,m
Dezydery,m
Diana,f
Dianna,f
Dina,f
Diogenes,m
Diomada,f
Dionizja,f
Dionizjusz,m
Dionizy,m
Ditta,f
Długosz,m
Dobiegniew,m
Dobiemiest,m
Dobiemir,m
Dobiesław,m
Dobiesława,f
Dobisława,f
Dobrawa,f
Dobrocha,f
Dobrochna,f
Dobrociech,m
Dobrogniew,m
Dobrogost,m
Dobromierz,m
Dobromił,m
Dobromiła,f
Dobromir,m
Dobromira,f
Dobromysł,m
Dobronieg,m
Dobroniega,f
Dobrosław,m
Dobrosława,f
Dobrowiest,m
Dobrowit,m
Dobrowój,m
Dobrymir,m
Dolores,m
Domamir,m
Domarad,m
Domarat,m
Domasław,m
Domasława,f
Domawit,m
Domicela,f
Domicjan,m
Dominik,m
Dominika,f
Domisława,f
Domosław,m
Domosława,f
Donat,m
Donata,f
Dorian,m
Doris,m
Dorota,f
Dragomir,m
Drogomił,m
Drogomir,m
Drogomysł,m
Drogosław,m
Drogosława,f
Duszan,m
Dymitr,m
Dymitriusz,m
Dytrych,m
Dyzma,f
Dziersław,m
Dziersława,f
Dzierżykraj,m
Dzierżymir,m
Dzierżysław,m
Dzierżysława,f
Eberhard,m
Edda,f
Edgar,m
Edmund,m
Edward,m
Edwin,m
Edyta,f
Efrem,m
Egbert,m
Egon,m
Eleonora,f
Eliasz,m
Eliga,f
Eligiusz,m
Eliza,f
Elwira,f
Elżbieta,f
Emanuel,m
Emanuela,f
Emerencja,f
Emeryk,m
Emil,m
Emilia,f
Emilian,m
Emiliana,f
Emiliusz,m
Emma,f
Enema,f
Engelbert,m
Enoch,m
Epifan,m
Epifani,m
Epifania,f
Epifaniusz,m
Erast,m
Erazm,m
Erazma,f
Erhard,m
Ernest,m
Ernesta,f
Ernestyn,m
Ernestyna,f
Erwin,m
Erwina,f
Eryk,m
Eryka,f
Estera,f
Euchariusz,m
Eudokia,f
Eudoksja,f
Eudoksjusz,m
Eufemia,f
Eufrozyna,f
Eugenia,f
Eugeniusz,m
Eulalia,f
Eulogiusz,m
Eustachiusz,m
Eustachy,m
Eutropiusz,m
Euzebia,f
Euzebiusz,m
Ewa,f
Ewald,m
Ewaryst,m
Ewdokia,f
Ewelin,m
Ewelina,f
Eweryst,m
Ezechiel,m
Fabia,f
Fabian,m
Fabiola,f
Fabrycjan,m
Fabrycy,m
Faust,m
Fausta,f
Faustyn,m
Faustyna,f
Felicja,f
Felicjan,m
Felicjana,f
Felicysym,m
Felicyta,f
Feliks,m
Ferdynand,m
Festus,m
Fidelis,m
Fides,m
Filemon,m
Filip,m
Filipina,f
Filomena,f
Flawia,f
Flawian,m
Flawiusz,m
Flora,f
Florencjusz,m
Florenty,m
Florentyn,m
Florentyna,f
Florian,m
Floryn,m
Fortunat,m
Fortunata,f
Franciszek,m
Franciszka,f
Frumencjusz,m
Fryda,f
Fryderyk,m
Fryderyka,f
Frydolin,m
Gabin,m
Gabor,m
Gabriel,m
Gabriela,f
Gajusz,m
Galezy,m
Gall,m
Galla,f
Gallina,f
Ganda,f
Gardenia,f
Gaspar,m
Gaudencja,f
Gaudencjusz,m
Gaudenty,m
Gaweł,m
Gawryła,f
Gebhard,m
Gedeon,m
Genowefa,f
Georgia,f
Georgina,f
Gerald,m
Geraldyna,f
Gerard,m
Gerarda,f
Gerhard,m
German,m
Germanik,m
Gertruda,f
Gerwazy,m
Gilbert,m
Gilda,f
Gizela,f
Glikeria,f
Gloria,f
Gniewomir,m
Gniewosz,m
Goar,m
Godfryd,m
Godzimierz,m
Godzimir,m
Godzisław,m
Godzisława,f
Godzisz,m
Gorgoncjusz,m
Gorzysław,m
Gosław,m
Gościmił,m
Gościmir,m
Gościrad,m
Gościsław,m
Gościsława,f
Gościwit,m
Gotard,m
Gotfryd,m
Gracja,f
Gracjan,m
Gracjana,f
Grażyna,f
Greta,f
Grodzisław,m
Gryzelda,f
Grzegorz,m
Grzymisław,m
Grzymisława,f
Gustaw,m
Gustawa,f
Gwidon,m
Ida,f
Idalia,f
Idzi,m
Ifigenia,f
Iga,f
Ignacja,f
Ignacy,m
Igor,m
Ildefons,m
Ilia,f
Ilona,f
Ilza,f
Imisław,m
Imisława,f
Inez,f
Inga,f
Ingeborga,f
Ingrida,f
Innocenta,f
Innocenty,m
Irena,f
Ireneusz,m
Irina,f
Irma,f
Irmina,f
Irwin,m
Iryda,f
Irydion,m
Isaura,f
Ismena,f
Ita,f
Iwa,f
Iwan,m
Iwetta,f
Iwo,m
Iwon,m
Iwona,f
Izaak,m
Izabela,f
Izolda,f
Izyda,f
Izydor,m
Jacek,m
Jacenty,m
Jacław,m
Jaczewoj,m
Jadwiga,f
Jagoda,f
Jakobina,f
Jakub,m
Jan,m
Janina,f
Janisław,m
Januaria,f
January,m
Janusz,m
Jarema,f
Jarmiła,f
Jarogniew,m
Jaromir,m
Jaropełk,m
Jarosław,m
Jarosława,f
Jaśmina,f
Jazon,m
Jeremi,m
Jeremiasz,m
Jeron,m
Jerosława,f
Jerzy,m
Jewdocha,f
Jędrzej,m
Joachim,m
Joachima,f
Joanna,f
Job,m
Jolanta,f
Jonasz,m
Jonatan,m
Jordan,m
Jowita,f
Jozafat,m
Józef,m
Józefa,f
Józefat,m
Józefina,f
Juda,f
Judyta,f
Julia,f
Julian,m
Julianna,f
Julietta,f
Julita,f
Juliusz,m
Jurand,m
Jurata,f
Justyn,m
Justyna,f
Justynian,m
Kacper,m
Kaja,f
Kajetan,m
Kajus,m
Kalasanty,m
Kalikst,m
Kaliksta,f
Kalina,f
Kalistrat,m
Kallina,f
Kamelia,f
Kamil,m
Kamila,f
Kandyd,m
Kanizjusz,m
Kanut,m
Karena,f
Karina,f
Karol,m
Karolin,m
Karolina,f
Karp,m
Kasjan,m
Kasjana,f
Kasper,m
Kastor,m
Katarzyna,f
Kazimiera,f
Kazimierz,m
Kiejstut,m
Kilian,m
Kinga,f
Kir,m
Kira,f
Kirył,m
Klara,f
Klarysa,f
Klaudia,f
Klaudian,m
Klaudiusz,m
Klaudyna,f
Klemencja,f
Klemens,m
Klement,m
Klementyn,m
Klementyna,f
Kleofas,m
Kleopatra,f
Klet,m
Klotylda,f
Koleta,f
Kolombina,f
Kondrat,m
Konrad,m
Konrada,f
Konradyn,m
Konradyna,f
Konstancja,f
Konstancjusz,m
Konstans,m
Konstanty,m
Konstantyn,m
Kordelia,f
Kordian,m
Kordula,f
Kornel,m
Korneli,m
Kornelia,f
Korneliusz,m
Kosma,m
Kryspin,m
Kryspina,f
Krystian,m
Krystiana,f
Krystyn,m
Krystyna,f
Krzesimir,m
Krzesisław,m
Krzesisława,f
Krzysztof,m
Krzywosąd,m
Ksawera,f
Ksawery,m
Ksaweryna,f
Ksenia,f
Ksenofont,m
Kunegunda,f
Kwiatosława,f
Kwiryn,m
Kwiryna,f
Lambert,m
Lamberta,f
Larysa,f
Laura,f
Laurencja,f
Laurencjusz,m
Laurenty,m
Laurentyn,m
Laurentyna,f
Laza,f
Lea,f
Leander,m
Lech,m
Lechosław,m
Lechosława,f
Lena,f
Lenart,m
Leodegar,m
Leokadia,f
Leon,m
Leona,f
Leonard,m
Leonarda,f
Leoncjusz,m
Leonia,f
Leonid,m
Leonida,f
Leonidas,m
Leontyna,f
Leopard,m
Leopold,m
Leopoldyna,f
Lesław,m
Lesława,f
Leszek,m
Lew,m
Lewin,m
Liberat,m
Liberata,f
Libert,m
Liboriusz,m
Lidia,f
Ligia,f
Lilian,m
Liliana,f
Lilianna,f
Lilla,f
Linda,f
Liwia,f
Liwiusz,m
Liza,f
Loda,f
Lolita,f
Longin,m
Longina,f
Longinus,m
Loretta,f
Luba,f
Lubogost,m
Lubomierz,m
Lubomir,m
Lubomira,f
Lubomysł,m
Lubor,m
Lubosław,m
Lubosza,f
Lucja,f
Lucjan,m
Lucjol,m
Lucjola,f
Lucjusz,m
Lucylla,f
Lucyna,f
Ludgarda,f
Ludmiła,f
Ludomił,m
Ludomiła,f
Ludomir,m
Ludomira,f
Ludosław,m
Ludwik,m
Ludwika,f
Ludwina,f
Luiza,f
Lukrecja,f
Lutobor,m
Lutogniew,m
Lutomir,m
Lutomysł,m
Lutosław,m
Ładysław,m
Łazarz,m
Łękomir,m
Łucja,f
Łucjan,m
Łucjusz,m
Łukasz,m
Machabeusz,m
Maciej,m
Madlena,f
Magda,f
Magdalena,f
Magnus,m
Maja,f
Makary,m
Maksym,m
Maksymilian,m
Maksymin,m
Malina,f
Malkolm,m
Malwin,m
Malwina,f
Małgorzata,f
Mamert,m
Manfred,m
Manfreda,f
Manswet,m
Manuela,f
Marcel,m
Marcela,f
Marceli,m
Marcelin,m
Marcelina,f
Marcin,m
Marcjal,m
Marcjan,m
Marcjanna,f
Marek,m
Margareta,f
Maria,f
Marian,m
Marianna,f
Marietta,f
Marika,f
Marina,f
Mariola,f
Marita,f
Mariusz,m
Marlena,f
Marta,f
Martyn,m
Martyna,f
Martynian,m
Maryla,f
Maryna,f
Marzanna,f
Marzena,f
Masław,m
Materna,f
Mateusz,m
Matron,m
Matylda,f
Maur,m
Maura,f
Maurycy,m
Mauryn,m
Mechtylda,f
Medard,m
Melania,f
Melchior,m
Metoda,f
Metody,m
Męcimir,m
Michalina,f
Michał,m
Mieczysław,m
Mieczysława,f
Mieszko,m
Mikołaj,m
Milena,f
Milenia,f
Miligost,m
Miła,f
Miłogost,m
Miłorad,m
Mirosław,m
Mirosława,f
Miłosz,m
Miłowan,m
Miłowit,m
Mina,f
Mindora,f
Minodora,f
Mira,f
Mirabella,f
Miranda,f
Mirella,f
Mirogniew,m
Miromir,m
Miron,m
Mironieg,m
Mironiega,f
Miłosław,m
Miłosława,f
Modest,m
Modesta,f
Mojmir,m
Mokij,m
Monika,f
Morzysław,m
Mścibor,m
Mścigniew,m
Mścisław,m
Mścisława,f
Mściwój,m
Myślibor,m
Myślimir,m
Naczesław,m
Nadbor,m
Nadia,f
Nadmir,m
Nadzieja,f
Namysław,m
Napoleon,m
Narcyz,m
Narcyza,f
Natalia,f
Natalis,m
Natasza,f
Naum,m
Nawoj,m
Nelly,m
Nemezjusz,m
Nestor,m
Nicefor,m
Niecisław,m
Niedamir,m
Niegomir,m
Niegosław,m
Niegosława,f
Niemir,m
Niezamysł,m
Nieznamir,m
Nikanor,m
Nikifor,m
Nikita,f
Nikodem,m
Nimfa,f
Nina,f
Ninogniew,m
Ninomysł,m
Noe,m
Nonna,f
Nora,f
Norbert,m
Norberta,f
Norma,f
Norman,m
Nosisław,m
Oda,f
Odil,m
Odila,f
Odilla,f
Odo,m
Odon,m
Odyseusz,m
Ofelia,f
Oksana,f
Oktawia,f
Oktawian,m
Oktawiusz,m
Olaf,m
Olech,m
Oleg,m
Olga,f
Olgierd,m
Olimpia,f
Oliwia,f
Oliwier,m
Onufry,m
Orchidea,f
Orestes,m
Orfeusz,m
Oriana,f
Oskar,m
Ostap,m
Oswald,m
Oswalda,f
Otomar,m
Otto,m
Otton,m
Otylia,f
Ozanna,f
Pafnucy,m
Pakosław,m
Pakosz,m
Paloma,f
Pankracy,m
Pantaleon,m
Paramon,m
Parys,m
Paschalis,m
Patrycja,f
Patrycjusz,m
Patrycy,m
Patryk,m
Paula,f
Paulin,m
Paulina,f
Paweł,m
Pelagia,f
Pelagiusz,m
Perpetua,f
Petronela,f
Petronia,f
Petroniusz,m
Pęcisław,m
Pęcisława,f
Pękosław,m
Pia,f
Pimen,m
Piotr,m
Pius,m
Placyd,m
Placydia,f
Platon,m
Pola,f
Polikarp,m
Pompejusz,m
Porfirion,m
Potencjana,f
Prakseda,f
Priam,m
Probus,m
Prochor,m
Prokop,m
Prosimir,m
Prosper,m
Prot,m
Protazy,m
Prudencjusz,m
Pryska,f
Przecław,m
Przecława,f
Przedbor,m
Przedpełk,m
Przedwoj,m
Przemił,m
Przemysł,m
Przemysław,m
Przesław,m
Przybyczest,m
Przybygniew,m
Przybymir,m
Przybyrad,m
Przybysław,m
Przybysława,f
Przybywoj,m
Pudecjanna,f
Pudens,m
Pulcheria,f
Racibor,m
Racimir,m
Racisław,m
Radek,m
Radociech,m
Radogost,m
Radomił,m
Radomiła,f
Radomir,m
Radomysł,m
Radosław,m
Radosława,f
Radowid,m
Radowit,m
Radzim,m
Radzimierz,m
Radzimir,m
Radzisław,m
Radzisława,f
Radziwoj,m
Rafael,m
Rafaela,f
Rafał,m
Rainer,m
Raissa,f
Rajmund,m
Rajmunda,f
Rajnold,m
Ramon,m
Ramona,f
Rebeka,f
Redogort,m
Regina,f
Reinhold,m
Remigiusz,m
Rena,f
Renat,m
Renata,f
René,m
Rita,f
Robert,m
Roberta,f
Roch,m
Roderyk,m
Rodryg,m
Rodryk,m
Roger,m
Roksana,f
Roland,m
Roma,f
Roman,m
Romana,f
Romeo,m
Romuald,m
Ronald,m
Rościgniew,m
Rościmir,m
Rościsław,m
Rościsława,f
Rozalia,f
Rozanna,f
Rozyna,f
Róża,f
Rudolf,m
Rudolfa,f
Rudolfina,f
Rufin,m
Rufina,f
Rufus,m
Rupert,m
Ruprecht,m
Ruta,f
Rygobert,m
Ryszard,m
Ryszarda,f
Saba,f
Sabin,m
Sabina,f
Salome,f
Salomea,f
Salomon,m
Salwator,m
Salwin,m
Sambor,m
Samson,m
Samuel,m
Samuela,f
Sandra,f
Sara,f
Saturnin,m
Saturnina,f
Sawa,f
Sawin,m
Sądomir,m
Sądosław,m
Scholastyka,f
Sebald,m
Sebastian,m
Sebastiana,f
Selma,f
Serafin,m
Serafina,f
Sergiusz,m
Serwacy,m
Sewer,m
Sewera,f
Sewerian,m
Seweryn,m
Seweryna,f
Sądzimir,m
Sędzisław,m
Sędzisława,f
Sędziwoj,m
Sieciech,m
Sieciesław,m
Sieciesława,f
Siemiodrog,m
Siemirad,m
Siemisław,m
Siemomysł,m
Siemowit,m
Sierosław,m
Sierosława,f
Siestrzemił,m
Siestrzewit,m
Skarbimierz,m
Skarbimir,m
Sława,f
Sławobor,m
Sławoj,m
Sławomir,m
Sławomira,f
Sławosz,m
Sobiesąd,m
Sobiesław,m
Sobiesława,f
Sofia,f
Sofroniusz,m
Sonia,f
Soter,m
Sozant,m
Spirydion,m
Spycigniew,m
Spycimir,m
Spycisław,m
Stanimir,m
Stanisław,m
Stanisława,f
Stefan,m
Stefania,f
Stella,f
Stojgniew,m
Stojmir,m
Stojsław,m
Stosław,m
Stronisław,m
Stronisława,f
Strzeżymir,m
Strzeżysław,m
Strzeżysława,f
Strzeżywoj,m
Sulibor,m
Sulimiera,f
Sulimierz,m
Sulimir,m
Sulirad,m
Sulisław,m
Sulisława,f
Suliwoj,m
Sulpicjusz,m
Swetłana,f
Sybilla,f
Sydonia,f
Sykstus,m
Sylwan,m
Sylwana,f
Sylweriusz,m
Sylwery,m
Sylwester,m
Sylwia,f
Sylwin,m
Sylwiusz,m
Symeon,m
Symforiana,f
Symplicjusz,m
Szarlota,f
Szczepan,m
Szczęsna,f
Szczęsny,m
Szeliga,f
Szwieciech,m
Szymon,m
Szymoneta,f
Ścibor,m
Ścibora,f
Światozar,m
Świeciech,m
Święcimir,m
Świętobor,m
Świętochna,f
Świętomir,m
Świętomira,f
Świętopełk,m
Świętosław,m
Świętosława,f
Tacjana,f
Tacjanna,f
Tacjusz,m
Tadeusz,m
Taida,f
Tamara,f
Taras,m
Tatiana,f
Tekla,f
Telesfor,m
Telimena,f
Telisława,f
Teobald,m
Teodor,m
Teodora,f
Teodoryka,f
Teodozja,f
Teodozjusz,m
Teofil,m
Teofila,f
Terencjusz,m
Teresa,f
Tezeusz,m
Tęgomir,m
Tobiasz,m
Toligniew,m
Tolimir,m
Tolisław,m
Tolisława,f
Toma,f
Tomasz,m
Tomił,m
Tomir,m
Tomira,f
Tomisław,m
Tomisława,f
Torpet,m
Toska,f
Tristan,m
Trofim,m
Trzebimir,m
Trzebisław,m
Trzebisława,f
Trzebomysł,m
Trzebowit,m
Twardosław,m
Tworzymir,m
Tworzysław,m
Tworzysława,f
Tyberiusz,m
Tyburcjusz,m
Tycjan,m
Tymon,m
Tymoteusz,m
Tytus,m
Ubald,m
Ubysław,m
Ulrych,m
Ulryk,m
Ulryka,f
Uniedrog,m
Uniegost,m
Uniemysł,m
Uniewit,m
Unimir,m
Unisław,m
Urban,m
Ursyn,m
Urszula,f
Violetta,f
Wacław,m
Wacława,f
Wadim,m
Waldemar,m
Walenty,m
Walentyn,m
Walentyna,f
Waleria,f
Walerian,m
Waleriana,f
Waleriusz,m
Walery,m
Walter,m
Wanda,f
Warcisław,m
Warwara,f
Wasyl,m
Wawrzyniec,m
Wenancjusz,m
Wendelin,m
Wenesa,f
Wera,f
Werner,m
Weronika,f
Wespazjan,m
Wiaczesław,m
Wielisław,m
Wielisława,f
Wieńczysław,m
Wiera,f
Wierzchosław,m
Wierzchosława,f
Wiesław,m
Wiesława,f
Więcemił,m
Więcemiła,f
Więcemir,m
Więcerad,m
Więcesław,m
Więcesława,f
Wiktor,m
Wiktoria,f
Wiktorian,m
Wiktoriusz,m
Wiktoryn,m
Wiktoryna,f
Wilhelm,m
Wilhelmina,f
Wilibald,m
Wilma,f
Wincenta,f
Wincenty,m
Więczysław,m
Wiola,f
Wioletta,f
Wirgiliusz,m
Wirginia,f
Wirginiusz,m
Wisław,m
Wisława,f
Wit,m
Witalian,m
Witalis,m
Witold,m
Witolda,f
Witołd,m
Witomił,m
Witomir,m
Witosław,m
Witosława,f
Wiwanna,f
Władymir,m
Władysław,m
Władysława,f
Włodzimierz,m
Włodzimir,m
Włodzisław,m
Włodzisława,f
Włodziwoj,m
Włościbor,m
Włościsław,m
Włościsława,f
Wodzisław,m
Wojbor,m
Wojciech,m
Wojciecha,f
Wojmir,m
Wojsław,m
Wojsława,f
Wolfgang,m
Wolimir,m
Wolmar,m
Wrócimir,m
Wrócisław,m
Wrócisława,f
Wróciwoj,m
Wrzesław,m
Wrzesława,f
Wszebąd,m
Wszebor,m
Wszebora,f
Wszeciech,m
Wszegniew,m
Wszemił,m
Wszemiła,f
Wszemir,m
Wyszemir,m
Wyszeniega,f
Wyszesław,m
Wyszesława,f
Wyszomir,m
Zachariasz,m
Zacheusz,m
Zawisza,f
Zbigniew,m
Zbisław,m
Zbroimir,m
Zbrosław,m
Zbygniew,m
Zbylut,m
Zbysław,m
Zbysława,f
Zbyszko,m
Zdobysław,m
Zdzibor,m
Zdzimir,m
Zdzisław,m
Zdzisława,f
Zdziwoj,m
Zefir,m
Zefiryn,m
Zefiryna,f
Zelmira,f
Zenobia,f
Zenobiusz,m
Zenon,m
Zenona,f
Ziemisław,m
Ziemowit,m
Zofia,f
Zora,f
Zorian,m
Zula,f
Zuzanna,f
Zygfryd,m
Zygmunt,m
Zyta,f
Żaklina,f
Żalina,f
Żaneta,f
Żanna,f
Żegota,f
Żelisław,m
Żyrosław,m
Żytomir,m
Żywia,f
Żywisław,m
Abdiasz,m
Abigail,f
Amanda,f
Asenat,m
Barnabasz,m
Batszeba,m
Bazyl,m
Boromeusz,m
Chryzostom,m
Dajana,f
Dalila,f
Damaris,m
Debora,f
Denis,m
Diomeda,f
Donald,m
Edmunda,f
Edwarda,f
Eligia,f
Elizeusz,m
Eunika,f
Ezdrasz,m
Feliksa,f
Goliat,m
Gwalbert,m
Hadrian,m
Halina,f
Halka,f
Halszka,f
Hanna,f
Harasym,m
Hegezyp,m
Helena,f
Heliasz,m
Heliodor,m
Helmut,m
Heloiza,f
Henryk,m
Henryka,f
Herakles,m
Herakliusz,m
Herbert,m
Herkulan,m
Herkules,m
Herman,m
Hermenegild,m
Hermenegilda,f
Hermina,f
Herminia,f
Hiacynt,m
Hiacynta,f
Hieronim,m
Hilaria,f
Hilary,m
Hildegarda,f
Hipolit,m
Hipolita,f
Honorat,m
Honorata,f
Honoriusz,m
Honoryna,f
Horacjusz,m
Horacy,m
Hortensja,f
Hortensjusz,m
Hubert,m
Huberta,f
Hugo,m
Hugon,m
Hygin,m
Ingrid,f
Izabella,f
Izajasz,m
Jagna,f
Joel,m
Jolanda,f
Jozue,m
Judasz,m
Kain,m
Kamilla,f
Kanty,m
Karin,m
Karola,f
Kesja,f
Kewin,m
Klaus,m
Kondrad,m
Krzysztofa,f
Ksymena,f
Kurt,m
Leopolda,f
Lora,f
Lubomiła,f
Mansfet,m
Margot,f
Martynin,m
Micheasz,m
Miriam,f
Mojżesz,m
Nahum,m
Natan,m
Natanael,m
Nehemiasz,m
Neomiła,f
Nepomucen,m
Niemira,f
Noemi,m
Otniel,m
Ozeasz,m
Pakoszław,m
Pamela,f
Pryscylla,f
Przemysława,f
Rachela,f
Romualda,f
Ruben,m
Rut,m
Salezy,m
Samanta,f
Saul,m
Swietłana,f
Tadeusza,f
Talita,f
Uriasz,m
Urlyk,m
Waldemara,f
Wawrzyn,m
Wincentyna,f
Winicjusz,m
Witomysł,m
Wszerad,m
Zbigniewa,f
Zygfryda,f
Hermenia,f
Hermes,m
Humbert,m
